code,name,fdate,temp_min,temp_max,temp_avg,rain_avg,wind_deg,wind_avg,wind_max,hum_avg,rainp_am,rainp_pm,pred_oz,pred_no2,pred_co,pred_so,pred_pm10,pred_pm25
1168066000,강남구,2024-07-16,24℃,32℃,26.21,0.54,남동풍,2.42,3,79.79,0%,60%,0.028,0.014,0.3,0.003,0,0
1168066000,강남구,2024-07-17,24℃,31℃,25.83,1.5,남서풍,3.08,4,88.54,60%,60%,0.035,0.009,0.3,0.003,0,1
1168066000,강남구,2024-07-18,24℃,28℃,25.71,0.0,남서풍,2.58,4,91.04,60%,70%,0.029,0.013,0.3,0.003,0,1
1174051500,강동구,2024-07-16,23℃,31℃,25.79,0.58,남동풍,2.33,3,80.21,0%,60%,0.027,0.015,0.4,0.003,0,0
1174051500,강동구,2024-07-17,23℃,31℃,24.92,2.0,남서풍,2.88,4,87.5,30%,60%,0.036,0.009,0.3,0.003,0,1
1174051500,강동구,2024-07-18,23℃,28℃,24.83,0.0,남서풍,2.54,4,90.21,60%,80%,0.033,0.013,0.3,0.003,0,1
1130553500,강북구,2024-07-16,22℃,32℃,26.58,0.67,남동풍,2.46,3,79.17,0%,60%,0.027,0.012,0.3,0.003,0,0
1130553500,강북구,2024-07-17,24℃,31℃,25.75,2.42,남서풍,3.0,4,89.17,30%,60%,0.033,0.009,0.3,0.003,0,1
1130553500,강북구,2024-07-18,25℃,28℃,25.67,0.0,남서풍,2.33,4,90.0,60%,90%,0.022,0.015,0.3,0.003,0,0
1150060300,강서구,2024-07-16,25℃,32℃,26.38,0.58,남동풍,2.62,3,81.25,0%,60%,0.031,0.014,0.3,0.003,0,0
1150060300,강서구,2024-07-17,24℃,31℃,25.5,1.83,남서풍,3.88,5,90.42,30%,60%,0.036,0.006,0.3,0.003,1,1
1150060300,강서구,2024-07-18,24℃,27℃,25.21,0.0,남서풍,2.75,4,92.71,60%,80%,0.03,0.014,0.3,0.003,0,1
1162058500,관악구,2024-07-16,24℃,32℃,26.0,0.5,남동풍,2.42,3,81.25,0%,60%,0.03,0.014,0.4,0.003,0,0
1162058500,관악구,2024-07-17,24℃,30℃,25.46,1.62,남서풍,3.17,4,88.75,60%,60%,0.034,0.012,0.3,0.003,0,1
1162058500,관악구,2024-07-18,24℃,27℃,25.5,0.0,남서풍,2.62,4,91.46,60%,70%,0.028,0.014,0.3,0.003,0,1
1121581000,광진구,2024-07-16,24℃,31℃,26.08,0.54,남동풍,2.38,3,77.92,0%,60%,0.025,0.015,0.3,0.003,0,0
1121581000,광진구,2024-07-17,24℃,31℃,25.5,1.5,남서풍,2.92,4,86.04,60%,60%,0.035,0.01,0.3,0.004,1,1
1121581000,광진구,2024-07-18,24℃,28℃,25.42,0.0,남서풍,2.58,4,87.08,60%,70%,0.028,0.013,0.3,0.004,0,0
1153059500,구로구,2024-07-16,25℃,32℃,26.58,0.54,남동풍,2.54,3,77.71,0%,60%,0.026,0.014,0.3,0.004,0,0
1153059500,구로구,2024-07-17,24℃,30℃,25.54,1.67,남서풍,3.54,4,85.62,30%,60%,0.038,0.014,0.3,0.005,0,1
1153059500,구로구,2024-07-18,24℃,27℃,25.54,0.0,남서풍,2.75,4,88.54,60%,70%,0.028,0.015,0.3,0.003,0,1
1154551000,금천구,2024-07-16,25℃,32℃,26.58,0.54,남동풍,2.54,3,77.71,0%,60%,0.026,0.014,0.3,0.004,0,0
1154551000,금천구,2024-07-17,24℃,30℃,25.54,1.67,남서풍,3.54,4,85.62,30%,60%,0.038,0.014,0.3,0.005,0,1
1154551000,금천구,2024-07-18,24℃,27℃,25.54,0.0,남서풍,2.75,4,88.54,60%,70%,0.028,0.015,0.3,0.003,0,1
1135059500,노원구,2024-07-16,22℃,32℃,26.58,0.67,남동풍,2.46,3,79.17,0%,60%,0.027,0.012,0.3,0.003,0,0
1135059500,노원구,2024-07-17,24℃,31℃,25.75,2.42,남서풍,3.0,4,89.17,30%,60%,0.033,0.009,0.3,0.003,0,1
1135059500,노원구,2024-07-18,25℃,28℃,25.67,0.0,남서풍,2.33,4,90.0,60%,90%,0.022,0.015,0.3,0.003,0,0
1132052100,도봉구,2024-07-16,24℃,31℃,25.67,0.75,남동풍,2.38,3,81.25,0%,60%,0.029,0.014,0.4,0.003,0,0
1132052100,도봉구,2024-07-17,23℃,30℃,25.0,2.38,남서풍,3.04,4,90.62,30%,60%,0.034,0.01,0.3,0.003,0,1
1132052100,도봉구,2024-07-18,24℃,27℃,24.92,0.0,남서풍,2.33,3,91.67,60%,90%,0.026,0.018,0.4,0.003,0,0
1123060000,동대문구,2024-07-16,25℃,31℃,26.25,0.62,남동풍,2.38,3,78.96,0%,60%,0.026,0.014,0.3,0.003,0,0
1123060000,동대문구,2024-07-17,24℃,31℃,25.5,1.92,남서풍,3.0,4,88.33,60%,60%,0.034,0.009,0.3,0.003,0,1
1123060000,동대문구,2024-07-18,24℃,28℃,25.42,0.0,남서풍,2.54,4,89.38,60%,80%,0.028,0.013,0.3,0.004,0,0
1159051000,동작구,2024-07-16,24℃,32℃,26.17,0.5,남동풍,2.46,3,80.83,0%,60%,0.03,0.014,0.3,0.003,0,0
1159051000,동작구,2024-07-17,24℃,30℃,25.5,1.54,남서풍,3.33,4,88.96,60%,60%,0.035,0.013,0.3,0.003,0,1
1159051000,동작구,2024-07-18,24℃,27℃,25.42,0.0,남서풍,2.67,4,91.25,60%,70%,0.029,0.014,0.3,0.003,0,1
1144056500,마포구,2024-07-16,25℃,31℃,26.04,0.54,남동풍,2.42,3,80.62,0%,60%,0.028,0.014,0.3,0.003,0,0
1144056500,마포구,2024-07-17,24℃,30℃,25.5,1.54,남서풍,3.04,4,88.96,60%,60%,0.033,0.011,0.3,0.003,0,1
1144056500,마포구,2024-07-18,24℃,27℃,25.33,0.0,남서풍,2.54,4,91.04,60%,70%,0.027,0.015,0.3,0.003,0,0
1141069000,서대문구,2024-07-16,24℃,32℃,26.08,0.62,남동풍,2.54,3,80.0,0%,60%,0.027,0.014,0.3,0.003,0,0
1141069000,서대문구,2024-07-17,24℃,30℃,25.38,1.58,남서풍,3.33,4,89.58,30%,60%,0.035,0.013,0.3,0.003,0,1
1141069000,서대문구,2024-07-18,24℃,27℃,25.04,0.0,남서풍,2.54,4,91.04,60%,70%,0.027,0.015,0.3,0.003,0,0
1165066000,서초구,2024-07-16,22℃,32℃,26.0,0.5,남동풍,2.38,3,81.88,0%,60%,0.03,0.012,0.4,0.003,0,1
1165066000,서초구,2024-07-17,23℃,30℃,25.42,1.42,남서풍,2.88,4,89.38,60%,60%,0.035,0.01,0.3,0.003,0,1
1165066000,서초구,2024-07-18,24℃,27℃,25.58,0.0,남서풍,2.58,5,91.88,60%,60%,0.026,0.012,0.3,0.004,0,1
1120059000,성동구,2024-07-16,25℃,32℃,26.17,0.54,남동풍,2.38,3,78.33,0%,60%,0.025,0.015,0.4,0.004,0,0
1120059000,성동구,2024-07-17,24℃,31℃,25.67,1.54,남서풍,3.0,4,87.92,60%,60%,0.034,0.009,0.3,0.003,0,1
1120059000,성동구,2024-07-18,23℃,28℃,25.71,0.0,남서풍,2.54,4,90.62,60%,70%,0.033,0.013,0.3,0.003,0,1
1129066000,성복구,2024-07-16,25℃,31℃,26.25,0.62,남동풍,2.38,3,78.96,0%,60%,0.026,0.014,0.3,0.003,0,0
1129066000,성복구,2024-07-17,24℃,31℃,25.5,1.92,남서풍,3.0,4,88.33,60%,60%,0.034,0.009,0.3,0.003,0,1
1129066000,성복구,2024-07-18,24℃,28℃,25.42,0.0,남서풍,2.54,4,89.38,60%,80%,0.028,0.013,0.3,0.004,0,0
1171063100,송파구,2024-07-16,25℃,32℃,26.42,0.54,남동풍,2.33,3,78.12,0%,60%,0.026,0.015,0.4,0.004,1,1
1171063100,송파구,2024-07-17,24℃,31℃,25.75,1.38,남서풍,2.92,4,86.88,60%,60%,0.034,0.009,0.3,0.004,0,1
1171063100,송파구,2024-07-18,24℃,28℃,25.67,0.0,남서풍,2.58,4,88.33,60%,70%,0.028,0.013,0.3,0.004,0,0
1147051000,양천구,2024-07-16,26℃,32℃,26.17,0.54,남동풍,2.5,3,78.96,0%,60%,0.025,0.015,0.3,0.004,0,0
1147051000,양천구,2024-07-17,24℃,30℃,25.38,1.62,남서풍,3.46,4,88.33,30%,60%,0.036,0.014,0.3,0.004,1,1
1147051000,양천구,2024-07-18,24℃,27℃,25.25,0.0,남서풍,2.71,4,90.42,60%,70%,0.029,0.014,0.3,0.003,0,1
1156055000,영등포구,2024-07-16,26℃,32℃,26.17,0.54,남동풍,2.5,3,78.96,0%,60%,0.025,0.015,0.3,0.004,0,0
1156055000,영등포구,2024-07-17,24℃,30℃,25.38,1.62,남서풍,3.46,4,88.33,30%,60%,0.036,0.014,0.3,0.004,1,1
1156055000,영등포구,2024-07-18,24℃,27℃,25.25,0.0,남서풍,2.71,4,90.42,60%,70%,0.029,0.014,0.3,0.003,0,1
1117053000,용산구,2024-07-16,25℃,31℃,26.04,0.54,남동풍,2.42,3,80.62,0%,60%,0.028,0.014,0.3,0.003,0,0
1117053000,용산구,2024-07-17,24℃,30℃,25.5,1.54,남서풍,3.04,4,88.96,60%,60%,0.033,0.011,0.3,0.003,0,1
1117053000,용산구,2024-07-18,24℃,27℃,25.33,0.0,남서풍,2.54,4,91.04,60%,70%,0.027,0.015,0.3,0.003,0,0
1138055100,은평구,2024-07-16,25℃,32℃,25.96,0.75,남동풍,2.54,3,80.42,0%,60%,0.026,0.015,0.3,0.003,0,0
1138055100,은평구,2024-07-17,24℃,31℃,25.25,1.88,남서풍,3.21,4,90.0,30%,60%,0.036,0.01,0.3,0.003,0,1
1138055100,은평구,2024-07-18,24℃,27℃,24.88,0.0,남서풍,2.42,4,91.46,60%,70%,0.025,0.016,0.3,0.003,0,0
1111060000,종로구,2024-07-16,25℃,31℃,26.12,0.58,남동풍,2.46,3,79.79,0%,60%,0.027,0.014,0.3,0.004,0,0
1111060000,종로구,2024-07-17,24℃,30℃,25.46,1.75,남서풍,3.08,4,87.71,60%,60%,0.033,0.012,0.3,0.003,0,1
1111060000,종로구,2024-07-18,24℃,27℃,25.33,0.0,남서풍,2.5,4,90.62,60%,70%,0.026,0.015,0.3,0.003,0,0
1114059000,중구,2024-07-16,25℃,31℃,26.12,0.58,남동풍,2.46,3,79.79,0%,60%,0.027,0.014,0.3,0.004,0,0
1114059000,중구,2024-07-17,24℃,30℃,25.46,1.75,남서풍,3.08,4,87.71,60%,60%,0.033,0.012,0.3,0.003,0,1
1114059000,중구,2024-07-18,24℃,27℃,25.33,0.0,남서풍,2.5,4,90.62,60%,70%,0.026,0.015,0.3,0.003,0,0
1126065500,중랑구,2024-07-16,25℃,31℃,26.12,0.58,남동풍,2.33,3,78.54,0%,60%,0.025,0.015,0.4,0.003,0,0
1126065500,중랑구,2024-07-17,24℃,31℃,25.5,1.92,남서풍,2.92,4,86.88,60%,60%,0.034,0.01,0.3,0.004,0,1
1126065500,중랑구,2024-07-18,24℃,28℃,25.33,0.0,남서풍,2.5,4,88.75,60%,80%,0.027,0.014,0.3,0.003,0,0
